bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,area,price
4,2,3,1,0,0,0,1,2,1,2,8.911934336161426,16.40327459319198
4,4,4,1,0,0,0,1,3,0,2,9.100525505968976,16.32103649495501
3,2,2,1,0,1,0,0,2,1,1,9.206332350578643,16.32103649495501
4,2,2,1,0,1,0,1,3,1,2,8.922658299524402,16.31817526267398
4,1,2,1,1,1,0,1,2,0,2,8.911934336161426,16.25000072183826
3,3,1,1,0,1,0,1,2,1,1,8.922658299524402,16.199675637950744
4,3,4,1,0,0,0,1,2,1,1,9.057189192482008,16.13298426345207
5,3,2,1,0,0,0,0,0,0,0,9.692766521220475,16.13298426345207
4,1,2,1,1,1,0,1,2,1,2,8.99961934066053,16.105010411409665
3,2,4,1,1,0,0,1,1,1,0,8.656955133791396,16.0978929436408
3,1,2,1,0,1,0,1,2,1,2,9.487972108574462,16.0978929436408
4,3,2,1,1,1,1,0,2,0,1,8.699514748210191,16.08567575970221
4,2,2,1,0,0,0,1,1,1,1,8.787220328629298,16.04659964925325
4,2,2,1,0,0,1,0,2,0,2,8.160518247477505,16.039052443617866
3,2,2,1,0,0,0,0,0,1,1,8.961879012677683,16.039052443617866
4,1,2,1,0,1,0,0,2,0,1,8.699514748210191,16.02378497148708
4,2,2,1,1,1,0,1,1,1,0,8.794824928014517,16.02378497148708
3,2,4,1,0,0,0,1,2,0,2,9.047821442478408,16.008280784951115
3,2,2,1,1,0,0,1,2,0,2,8.433811582477187,16.00043760749009
3,2,2,1,0,0,0,1,1,1,1,8.767173396684006,15.99649282919907
3,1,2,1,0,1,1,0,2,0,1,8.371010681238156,15.984564258333798
3,2,1,1,1,1,0,1,2,0,0,8.875566691990551,15.976532086636533
3,1,1,1,1,1,0,1,1,0,2,8.99342737041261,15.972491677099528
3,2,2,1,1,1,0,1,1,0,2,8.425077902508432,15.972491677099528
3,2,2,1,0,0,0,1,2,0,2,9.082507000466299,15.964361551016278
4,2,2,1,1,1,0,1,2,1,2,8.785692444451245,15.960271565764753
3,2,4,1,1,1,0,1,0,1,1,8.699514748210191,15.951214278652243
3,1,1,1,0,0,0,0,1,0,1,9.090993614343617,15.943742263813542
5,2,2,1,0,1,1,0,2,0,0,8.980927207648378,15.943742263813542
4,2,2,1,0,1,0,1,1,1,1,8.612503371220562,15.943742263813542
3,2,4,1,0,0,0,1,2,0,0,8.919319398258887,15.943742263813542
3,1,4,1,0,0,0,1,2,0,1,8.85366542803745,15.943742263813542
4,2,2,1,0,0,0,1,1,1,2,8.492900498847193,15.931163481606681
3,3,2,1,1,1,0,0,1,0,0,8.692825760059396,15.918424455829252
5,1,2,1,1,1,0,1,1,0,2,8.830543010616596,15.90984071213786
3,2,4,1,0,0,0,1,2,0,2,8.85366542803745,15.90501876036436
3,2,3,1,0,0,1,0,1,1,2,8.920255414908091,15.900312705886206
4,2,4,1,0,0,0,1,2,0,2,9.104979856318357,15.892448969425992
3,1,4,1,1,0,0,1,2,0,0,8.699514748210191,15.890253578862556
4,2,4,1,0,0,0,1,1,0,1,8.699514748210191,15.883638339743836
3,1,2,1,0,1,0,1,0,1,2,8.787220328629298,15.879203742675971
3,2,4,1,0,0,0,1,0,1,2,8.757783656334167,15.87474939232659
3,2,4,1,0,0,0,1,2,0,0,8.776475789346321,15.856730886823913
4,2,4,1,0,0,0,0,2,0,1,8.699514748210191,15.856730886823913
4,2,4,1,0,0,0,1,1,0,2,8.699514748210191,15.838381748155715
3,2,3,1,0,0,0,1,0,0,1,8.699514748210191,15.838381748155715
3,2,4,1,0,0,0,1,1,0,2,8.699514748210191,15.833741368599213
3,1,4,1,0,0,0,1,3,1,2,8.794824928014517,15.829079355493402
3,2,2,1,0,1,0,0,1,0,0,8.366370301681654,15.824395506180975
3,2,1,1,1,1,0,1,0,1,1,8.914626127827137,15.819689615143563
3,2,4,1,0,0,0,0,1,1,0,8.914626127827137,15.819689615143563
3,1,4,1,0,0,0,1,1,0,0,8.752265313595721,15.819689615143563
4,2,4,1,1,0,0,1,1,0,2,8.699514748210191,15.81021087118902
3,2,4,1,0,0,0,1,2,0,1,8.546751993657782,15.81021087118902
3,2,2,1,1,0,0,1,1,0,1,8.699514748210191,15.81021087118902
3,1,2,1,0,0,0,1,1,0,0,8.699514748210191,15.81021087118902
4,1,2,1,0,1,0,0,1,1,1,9.344871264933788,15.809258036433748
4,2,4,1,1,0,0,1,1,1,2,9.104979856318357,15.79582213373692
4,2,4,1,1,0,0,1,1,0,1,8.946374826141717,15.790979509261131
3,2,4,1,1,0,0,1,1,0,2,8.699514748210191,15.790979509261131
3,2,2,1,1,0,0,0,1,0,1,8.699514748210191,15.781223334315767
2,1,1,1,0,0,0,1,1,0,1,9.091556835986216,15.771371037872756
4,2,2,1,0,0,0,1,1,0,2,8.738735461363474,15.771371037872756
4,2,3,1,0,0,0,1,2,1,2,8.757783656334167,15.766408248530626
3,1,1,1,0,1,0,1,1,1,2,9.32143441948177,15.761420707019587
3,2,2,1,0,1,0,1,1,0,2,9.091556835986216,15.751370371166086
2,1,1,1,0,1,1,0,1,0,2,9.487972108574462,15.751370371166086
3,2,1,1,0,0,0,0,2,0,0,8.948975607841776,15.74630706920954
3,1,1,1,0,0,0,1,1,0,2,8.699514748210191,15.741217999702068
4,2,2,1,0,0,0,0,2,1,2,9.400133943608838,15.730961499534878
3,2,2,1,0,1,0,1,0,1,1,8.294049640102028,15.730961499534878
4,2,4,1,0,0,0,1,0,0,0,8.699514748210191,15.725793529376435
3,1,4,1,0,0,0,1,0,1,0,8.521185212685776,15.720598712499333
2,2,4,1,0,1,0,0,0,1,2,8.794824928014517,15.71537676851818
3,1,2,1,0,1,1,0,1,0,2,8.303999970955196,15.710127412632037
4,2,2,1,0,0,1,0,0,0,1,8.357024439263416,15.710127412632037
3,2,3,1,0,0,0,1,0,1,2,8.767173396684006,15.710127412632037
3,2,3,1,0,0,0,1,0,1,2,8.779557455883728,15.710127412632037
3,1,1,1,1,1,0,1,2,1,2,8.648221453822641,15.710127412632037
3,2,3,1,1,0,0,1,0,0,2,8.699514748210191,15.710127412632037
3,1,2,1,0,0,1,0,1,1,1,8.699514748210191,15.70696452122353
3,2,2,1,0,1,0,1,1,0,1,8.294049640102028,15.704850355531192
3,2,1,1,0,1,0,1,1,1,2,9.259130536145614,15.704850355531192
3,2,4,1,0,0,0,1,0,0,1,8.699514748210191,15.6995453033015
3,1,2,1,0,0,1,0,2,0,1,8.23217423638394,15.688850014184752
3,2,3,1,0,0,0,1,0,0,2,9.017968479328726,15.688850014184752
3,1,3,1,0,1,0,0,0,1,0,8.80537513890967,15.688850014184752
3,1,1,1,0,1,0,0,2,0,1,8.283999304248526,15.683459165549875
3,1,1,1,1,1,0,1,2,1,0,8.910585718290132,15.683459165549875
5,3,2,1,0,0,0,0,2,0,2,9.057189192482008,15.678039098080536
3,1,2,1,0,0,0,1,0,0,1,8.517193191416238,15.678039098080536
2,1,1,1,1,1,0,0,2,1,2,8.817297783866575,15.674772900293915
3,2,4,1,1,0,0,1,0,0,2,8.476371196895983,15.672589493312971
3,2,1,1,0,1,0,1,3,0,1,8.881836305004146,15.65606019136176
4,2,4,1,0,0,0,0,1,0,1,8.699514748210191,15.65606019136176
3,2,3,1,0,0,0,1,2,0,1,8.318742252692399,15.65606019136176
3,1,1,1,0,1,0,0,1,1,2,9.104979856318357,15.65606019136176
3,1,1,1,1,1,0,1,1,1,1,8.764053269347762,15.65606019136176
3,2,3,1,0,0,0,1,0,1,0,8.794824928014517,15.65494846250907
4,1,3,1,1,1,0,0,0,1,0,8.699514748210191,15.650489146312307
3,2,1,1,0,1,0,1,0,1,0,8.794824928014517,15.644886890763637
3,1,3,1,0,0,0,0,1,1,0,8.612503371220562,15.644886890763637
3,2,4,1,1,0,0,1,1,0,1,8.612503371220562,15.63925307304538
3,2,3,1,1,0,0,1,0,0,2,8.756210091886738,15.63925307304538
3,2,1,1,1,1,0,0,2,1,2,8.612503371220562,15.63925307304538
3,1,4,1,0,0,0,1,0,0,0,8.411832675758411,15.633587335509702
4,2,1,1,0,1,0,1,0,1,1,8.60337088765729,15.633587335509702
3,1,3,1,0,1,0,0,0,1,0,8.767173396684006,15.627889314395064
4,1,3,1,0,0,0,0,1,0,1,8.083328608786376,15.625028082114033
4,2,2,1,1,0,1,0,1,0,1,8.797095076549056,15.622158639686079
3,1,1,1,1,1,0,0,2,1,1,8.794824928014517,15.622158639686079
3,1,3,1,0,0,0,1,2,0,0,9.03264808356589,15.622158639686079
6,2,2,1,0,0,0,0,0,0,2,8.366370301681654,15.621008553302842
3,1,1,1,0,1,0,0,2,1,2,9.171599543659752,15.621008553302842
2,1,1,1,1,1,0,0,2,0,2,8.824677891164198,15.610597817285004
3,1,1,1,1,1,0,1,2,1,1,8.987196820661973,15.610597817285004
3,2,1,1,1,1,0,0,0,1,0,8.83927669058535,15.610597817285004
4,1,2,1,1,0,0,1,0,0,2,8.216088098632316,15.598901777521812
3,1,1,1,0,1,0,1,0,1,2,8.767173396684006,15.598901777521812
3,1,1,1,0,1,0,1,2,1,1,8.856518497019858,15.598901777521812
3,1,1,1,1,1,0,0,2,1,2,8.785692444451245,15.598901777521812
3,1,2,1,1,1,0,1,0,1,1,8.886132618174951,15.598901777521812
4,2,1,1,0,1,0,0,1,1,1,8.740976538017787,15.598901777521812
4,2,2,1,0,0,0,0,0,0,2,8.898365606955357,15.598901777521812
3,2,4,1,0,0,0,0,1,0,2,8.783396232190894,15.598901777521812
3,1,1,1,0,0,0,1,2,0,1,9.655026193237628,15.597724614348797
3,1,1,1,0,1,0,0,2,1,0,8.87626525995469,15.58706731987481
3,2,3,1,0,0,0,1,0,0,0,8.779557455883728,15.58706731987481
3,1,3,1,1,0,0,1,1,0,2,8.612503371220562,15.585876134504657
3,1,3,1,0,0,0,0,2,1,1,9.346617990268731,15.585876134504657
3,1,1,1,1,1,0,0,0,0,0,8.476371196895983,15.584683528519534
4,1,4,1,1,0,0,0,0,0,1,8.670429167315095,15.575091128828094
3,1,3,1,0,0,0,1,0,0,1,8.556413904569519,15.575091128828094
3,1,3,1,0,0,0,1,0,0,0,8.476371196895983,15.575091128828094
3,1,1,1,0,1,0,0,2,1,1,8.85366542803745,15.573885583172745
3,2,4,1,0,0,0,1,0,0,0,8.699514748210191,15.569048814372131
4,2,2,1,0,0,0,1,2,0,0,8.594154232552366,15.56296976829575
4,1,2,1,0,0,0,0,1,0,1,8.442469645220301,15.56296976829575
3,1,3,1,0,0,0,1,0,0,1,8.517193191416238,15.56296976829575
3,1,1,1,1,1,0,1,2,1,2,8.757783656334167,15.56296976829575
3,2,4,1,0,0,0,1,0,0,0,8.66561319653451,15.56296976829575
4,2,2,1,1,1,0,0,1,1,1,8.803874763534434,15.547608483134262
4,2,2,1,0,0,0,0,1,0,1,9.259130536145614,15.538277155705378
5,2,3,0,0,1,1,0,0,0,0,8.476371196895983,15.538277155705378
4,1,2,1,1,1,0,1,1,0,2,8.45531778769815,15.538277155705378
3,1,4,1,0,0,0,0,0,0,2,8.517193191416238,15.538277155705378
2,1,1,1,0,0,0,0,1,0,1,9.259130536145614,15.538277155705378
3,2,2,1,0,0,0,0,1,0,1,8.612503371220562,15.538277155705378
3,1,3,1,0,0,0,0,0,1,1,8.757783656334167,15.538277155705378
4,2,1,1,0,1,0,0,0,1,1,8.794824928014517,15.538277155705378
3,1,2,1,1,1,0,1,0,1,0,8.544029845369797,15.538277155705378
4,1,2,1,0,0,0,1,2,1,1,8.389359819906353,15.532007542691781
5,1,2,1,1,1,0,1,0,1,2,8.594154232552366,15.532007542691781
3,3,2,1,0,1,0,0,0,0,1,8.101677747454572,15.525698373498518
3,2,2,1,0,0,0,0,2,0,1,8.202482446576537,15.525698373498518
3,2,1,1,0,1,0,0,2,1,2,8.716044050161402,15.525698373498518
3,1,1,1,1,1,0,0,0,1,1,8.83927669058535,15.524431748883325
4,2,2,0,1,1,0,0,1,0,2,7.943427767876373,15.51934914581986
3,1,1,1,0,0,0,0,2,0,1,8.984693690443855,15.51934914581986
3,2,1,1,1,1,0,1,0,0,2,8.055157731819678,15.512959347721088
4,1,4,1,1,0,0,1,0,0,2,8.733916174927524,15.512959347721088
3,1,3,1,1,0,0,1,0,1,1,8.716044050161402,15.512959347721088
4,2,2,1,1,1,0,0,0,1,1,8.794824928014517,15.512959347721088
3,1,1,1,1,1,0,1,0,1,1,8.82834762005316,15.506528457390797
3,2,2,1,1,1,0,0,1,1,2,8.811354229965728,15.50005594288518
3,2,1,1,1,1,1,0,0,0,0,8.771835409789817,15.498756397543094
3,1,1,1,0,1,0,1,2,1,0,8.961879012677683,15.486983861317826
2,2,1,1,0,0,0,1,2,0,1,8.433811582477187,15.480383177286475
4,1,2,1,0,1,0,1,0,0,2,8.357024439263416,15.473738634567807
4,2,2,0,0,0,0,1,0,0,1,8.785692444451245,15.473738634567807
3,2,1,1,0,1,0,0,0,0,1,8.612503371220562,15.473738634567807
3,1,1,1,0,0,0,0,1,1,1,9.236884927198295,15.473738634567807
3,1,2,1,1,1,0,1,2,1,0,9.035986984831405,15.473738634567807
4,2,1,1,0,0,0,1,0,1,0,8.575462099540212,15.473738634567807
3,1,2,1,1,1,0,0,1,1,0,8.242756345714477,15.473738634567807
4,2,2,1,1,0,0,0,2,0,1,9.190137664658664,15.473738634567807
3,1,1,1,0,0,0,1,2,0,2,9.050171619823361,15.473738634567807
3,1,1,1,0,1,0,0,0,1,1,8.707813551024888,15.47240441155467
3,1,1,1,1,1,0,0,2,1,1,8.865735152124781,15.469730613170269
3,2,2,1,0,0,0,0,2,0,1,8.064636475774222,15.46704964641701
4,2,1,0,0,1,0,1,2,0,1,8.411832675758411,15.46704964641701
3,1,2,1,1,1,0,0,1,1,2,8.881836305004146,15.46704964641701
3,1,2,0,0,0,0,1,0,0,1,8.134467570277563,15.453535927250288
3,1,1,1,0,0,0,0,1,1,1,8.984693690443855,15.453535927250288
3,2,2,1,1,1,0,0,0,0,2,8.006367567650246,15.446709962179888
3,1,2,1,0,1,0,0,0,0,0,8.006367567650246,15.446709962179888
2,1,2,1,0,0,0,0,0,1,2,9.342245442856122,15.446709962179888
3,1,1,1,0,1,0,1,0,1,1,8.716044050161402,15.446709962179888
2,1,2,1,0,0,0,1,0,1,0,8.651724084373843,15.439837082892126
2,1,1,0,1,1,0,0,0,0,1,8.17188200612782,15.432916640047551
4,1,2,1,0,0,0,1,2,0,2,8.935903526274423,15.432916640047551
3,1,2,1,1,1,0,0,0,0,1,9.277999020449997,15.432916640047551
3,1,1,1,1,1,0,0,0,1,2,8.794824928014517,15.432916640047551
2,1,1,1,1,1,0,0,0,0,1,8.476371196895983,15.431526785758496
3,2,1,1,1,1,0,0,0,0,1,9.005773206234908,15.425947970731459
4,3,2,1,0,1,0,0,2,0,1,8.391629968440892,15.418930398072812
3,1,1,1,1,1,1,0,0,0,1,8.94715577112479,15.418930398072812
3,2,2,0,0,1,0,1,1,0,1,7.937374696163295,15.41610952173117
3,1,2,1,0,0,0,1,0,0,1,8.690810307580046,15.411863230849718
3,1,2,1,0,0,0,0,1,0,2,8.34283980427146,15.40617331507204
3,1,2,1,0,1,0,1,0,0,1,8.416267272826277,15.404745763080856
3,1,2,0,1,1,0,1,0,0,1,8.31752199628717,15.404745763080856
2,1,1,1,0,1,0,0,1,0,1,8.323608442343572,15.404745763080856
4,1,2,1,0,0,0,0,0,0,1,8.594154232552366,15.404745763080856
3,1,1,1,1,1,0,0,0,0,1,8.470101583882387,15.404745763080856
3,1,1,1,0,0,0,1,2,0,1,8.748304912379623,15.404745763080856
2,1,1,1,1,1,0,1,0,0,1,8.66561319653451,15.404745763080856
3,1,2,1,0,1,0,1,0,0,1,8.006367567650246,15.404745763080856
3,1,3,1,0,0,0,0,0,0,1,7.996317231796746,15.404745763080856
3,1,1,1,0,0,0,0,0,0,0,8.812843433517195,15.404745763080856
3,1,2,1,1,1,0,0,2,0,1,8.443761913330354,15.404745763080856
3,1,1,1,0,0,0,0,2,0,2,9.464982590349763,15.404745763080856
4,2,2,1,0,1,0,1,2,0,1,8.13739583005665,15.40331617027126
4,2,1,1,0,1,0,0,0,0,1,8.516192691082654,15.40331617027126
2,1,1,1,0,1,0,0,0,0,0,8.37793112408273,15.397577273602243
3,1,3,1,0,0,0,0,0,0,0,8.333270353255308,15.390357025628756
3,1,1,1,0,0,0,0,2,1,1,8.706159290928861,15.390357025628756
3,1,2,1,0,0,0,1,2,1,2,8.833754223418396,15.390357025628756
2,1,1,1,0,0,0,1,0,1,1,8.479491324232226,15.390357025628756
3,1,2,1,0,1,0,0,0,0,0,8.85366542803745,15.383084266299676
4,1,4,1,0,1,0,1,2,0,1,8.99961934066053,15.383084266299676
4,2,2,1,0,0,0,0,0,0,1,8.13739583005665,15.377227734186963
2,1,1,1,0,1,0,1,2,0,1,9.123256265069069,15.375758226207603
3,1,2,1,0,1,0,1,1,0,2,8.751632702472298,15.375758226207603
2,1,1,1,0,0,0,1,2,1,0,9.234056898593499,15.375758226207603
2,1,1,1,0,0,0,1,3,0,1,8.770283819098399,15.374286555596147
3,1,4,1,0,0,0,1,0,0,1,8.550627967502475,15.360943140422462
2,1,1,1,0,1,0,1,1,0,2,8.699514748210191,15.360943140422462
3,1,2,1,0,0,0,0,2,0,1,8.196987927258897,15.360943140422462
4,2,2,1,1,1,0,0,1,0,1,9.176473302464606,15.360943140422462
2,1,2,1,0,0,0,0,0,1,1,8.594154232552366,15.360943140422462
3,1,1,1,0,0,0,0,0,1,1,8.371010681238156,15.360943140422462
3,1,2,1,0,1,0,0,0,0,2,8.22817689595132,15.353452468693305
3,1,1,1,1,1,0,1,0,0,0,8.333270353255308,15.345905263057922
3,2,2,1,0,1,0,0,2,0,1,8.263590432617319,15.345905263057922
3,1,2,1,1,0,0,1,1,0,1,8.644706511715198,15.345905263057922
2,1,2,1,1,1,0,0,0,1,1,7.962067308753666,15.345905263057922
3,1,2,1,0,1,0,0,0,0,1,8.51919119407891,15.345905263057922
4,2,2,1,0,1,0,0,0,0,1,8.414052432496725,15.344388962539957
3,1,2,1,0,0,0,0,1,0,2,8.294049640102028,15.338300663672703
3,1,2,1,0,0,0,0,1,1,1,8.253227645581772,15.338300663672703
3,1,1,1,0,0,0,0,2,0,1,8.23217423638394,15.330637790927133
3,1,2,1,0,0,0,1,0,0,2,8.199738960630786,15.330637790927133
3,1,2,1,0,1,0,0,0,0,2,7.843848638152472,15.330637790927133
3,1,2,1,1,1,0,0,0,1,1,8.57922858233569,15.330637790927133
3,1,2,1,0,0,0,0,2,1,0,8.586719254064848,15.330637790927133
3,1,1,1,0,0,0,0,0,1,1,8.166216268592143,15.330637790927133
4,1,4,1,0,0,0,0,3,0,0,9.035986984831405,15.330637790927133
2,2,1,1,1,1,0,0,0,0,1,8.318742252692399,15.32909814474154
4,2,2,1,1,1,0,0,0,1,2,8.515191188745565,15.32909814474154
3,1,3,1,0,0,0,0,0,0,1,8.163371316459912,15.322915744833223
3,1,2,1,0,1,0,0,1,0,1,8.146129510025405,15.322915744833223
3,1,1,1,0,0,0,0,0,0,1,9.19624144759668,15.322915744833223
2,1,2,1,0,0,0,0,0,1,2,8.166216268592143,15.322915744833223
4,1,2,1,0,0,0,1,2,0,1,8.414052432496725,15.315133604391168
2,1,1,1,0,0,0,1,1,0,0,8.680162019694377,15.315133604391168
3,1,2,1,0,0,0,0,2,0,2,8.294049640102028,15.315133604391168
3,1,1,1,0,0,0,0,0,0,2,9.017968479328726,15.315133604391168
3,1,2,1,0,0,0,0,1,0,1,8.303999970955196,15.315133604391168
2,1,1,1,0,1,0,1,1,0,2,8.757783656334167,15.313569882414985
3,1,2,1,0,0,0,1,1,0,2,8.058960017769417,15.313569882414985
3,1,2,1,0,0,0,0,0,0,1,8.163371316459912,15.313569882414985
2,1,1,1,1,1,0,0,0,0,1,8.229511118964457,15.307290426930143
3,1,2,0,0,0,0,0,0,0,1,8.286017468404763,15.299385247423029
2,1,2,1,0,1,0,0,0,0,1,8.496990484098719,15.299385247423029
3,1,2,1,0,0,0,0,0,1,1,7.965545573129992,15.297796684737891
3,1,1,1,0,0,0,0,2,1,0,8.492900498847193,15.297796684737891
3,1,2,1,0,0,0,0,1,0,1,8.501063809486354,15.297796684737891
4,1,2,1,0,0,0,1,0,0,1,8.507142855562735,15.29301579913755
3,1,2,1,0,0,0,0,0,0,0,8.268731832117737,15.291417077773852
3,2,3,1,0,0,1,0,1,0,2,8.411832675758411,15.283384906076588
